   alt                        press                      den                        temp                       eddy                       H2SO4aer                   C2H2aer                    C2H4aer                    C2H6aer                    HCNaer                     C4H4aer                    CH3CNaer                   HCCCNaer                   N2Oaer                     NH3aer                     S8aer                      HCaer1                     HCaer2                     HCaer3                     He                         H                          H2                         H2O                        OH                         O                          O2                         CO                         CO2                        HCO                        H2CO                       C                          CH                         CH2                        CH3                        CH4                        S                          S2                         S3                         S4                         H2S                        HS                         SO                         SO2                        CS                         CS2                        OCS                        CN                         HCN                        N                          NH                         NH2                        NH3                        C2                         C2H                        C2H2                       C2H4                       NO                         HNO                        HO2                        HNCO                       N2O                        H2O2                       O3                         NO2                        NO3                        SO3                        HNO2                       HNO3                       H2SO4                      HCl                        Cl                         Cl2                        HOCl                       N2H4                       ClO                        C2H6                       CH3OH                      CH2CO                      CH3CHO                     C3H4                       C3H6                       C4H2                       C4H4                       OClO                       HCS                        C2H3                       C2H5                       NCO                        HCCO                       NNH                        HSO                        CH3O                       H2COH                      H2CN                       N2H2                       C4H                        HCNOH                      C2H2OH                     CH3CO                      CH2CHO                     C2H3OH                     C2H4OH                     CH3O2                      HSO3                       N2H3                       NH2CO                      HS4                        C4H3                       CH2N2                      CH2CN                      CH3CN                      HCCCN                      N2                         H2SO4aer_r                 C2H2aer_r                  C2H4aer_r                  C2H6aer_r                  HCNaer_r                   C4H4aer_r                  CH3CNaer_r                 HCCCNaer_r                 N2Oaer_r                   NH3aer_r                   S8aer_r                    HCaer1_r                   HCaer2_r                   HCaer3_r                   
   2.50000000000000000E-001   9.71570331714724733E-001   2.45006412593145528E+019   2.87219227953617633E+002   9.92841389999998937E+004   3.04479271780830117E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.63631447330627259E-027   1.88641222467843449E-011   8.58363423478498468E-020   2.76871282045439822E-013   9.99999999999999929E-041   3.41830194284211507E-018   9.35313422538616951E-005   1.01348086765650595E-002   2.10042774548275340E-022   2.54786085820260351E-020   1.21415333060907865E-013   1.92084516896877622E-004   1.00000000000000002E-002   7.02612303295275460E-015   1.89012652881830181E-012   9.99999999999999929E-041   1.13560168522281798E-036   3.42941486236713690E-022   7.37695089958701586E-016   1.00000000000000002E-003   1.58482799082348289E-020   8.21062041041684442E-017   1.05025560944006201E-020   2.51340537753047680E-021   6.85934270304643924E-010   6.27891760495080694E-015   5.40870858388267372E-015   1.42026517419683343E-010   4.01109200274619914E-019   6.72358354030127408E-019   1.46676626578484636E-008   8.20795921859387308E-038   8.79255374795382848E-012   4.26663365168157791E-024   3.15959698481501333E-023   1.49949295919530122E-019   1.33450318178925717E-012   9.99999999999999929E-041   5.28381638617399355E-033   2.32918559414642478E-015   1.41796905643361867E-012   2.26982015973017549E-016   3.59322611354206615E-016   2.17970737026131577E-014   2.25686332491595275E-012   6.90693322183058925E-014   2.07504443149649071E-015   1.43192850768817929E-022   1.05308093693178240E-016   1.42241398596374152E-020   6.77619499639584680E-026   2.65689157381509740E-013   2.93330943811163200E-017   7.82777672776710579E-018   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46908287668457200E-017   9.99999999999999929E-041   1.21971213650643690E-006   4.86636559525899756E-011   4.40707742788598668E-012   6.05576410818874352E-012   6.71408384442990460E-018   2.29995311165684578E-018   3.04719876941817806E-024   4.84250023411998247E-026   9.99999999999999929E-041   7.99082040678679081E-024   2.88482843256023244E-026   3.17014773152749195E-015   1.73044400406449387E-025   2.36766470624910767E-029   2.85668643485037213E-029   1.57198377103455394E-013   4.19911952209997115E-020   6.47595913939068916E-020   2.02651537984876583E-021   4.62178720648015763E-017   1.34115360661666512E-039   3.11059109783487731E-028   9.30223869191203412E-037   1.11118807923309494E-017   6.76236080367287479E-019   3.63745354199949539E-016   2.84286708139344034E-020   9.79047928643275311E-017   9.25501020179575549E-024   7.42444474393342240E-021   1.85021920019865952E-013   3.10699188012883919E-021   1.59534765006938513E-031   7.11508764477526679E-015   1.49316472980000173E-021   6.49057057259375491E-015   1.17469635774301077E-015   9.78578340180842332E-001   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   7.50000000000000000E-001   9.16935060968864346E-001   2.32797503310590198E+019   2.85283712981239262E+002   9.92841389999998937E+004   3.04479955971200406E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.57980946862870750E-027   1.88641646360435810E-011   8.52961743450837378E-020   2.76871904198349642E-013   9.99999999999999929E-041   4.07580488985867744E-018   9.35429792312517696E-005   9.75454472129547515E-003   3.05219779069708260E-022   5.08844008811437846E-020   1.22602741798775620E-013   1.92096425595327696E-004   9.99998961948367522E-003   9.44604797469986456E-015   2.08427416772294192E-012   9.99999999999999929E-041   1.68029245936059203E-036   4.27543135170283922E-022   1.03186738569856317E-015   9.99993885818246464E-004   2.12944444477426768E-020   8.21989922976881589E-017   9.78414544190553475E-021   2.33772012506608347E-021   6.93022213591553775E-010   6.16117006309123259E-015   5.61403339621103127E-015   2.15403332397613686E-010   4.01312707350211635E-019   6.72154813254905299E-019   1.46676600580889060E-008   3.13125629389371372E-037   8.82435194984095350E-012   4.70331987226556378E-024   4.66848102020438656E-023   1.46814918522946926E-019   1.33443764750347397E-012   9.99999999999999929E-041   7.38633734793776725E-033   2.32918626775305610E-015   1.41795401827247599E-012   2.26647218076000549E-016   5.95242609454611062E-016   3.19118727756479052E-014   2.25645096308433231E-012   6.90693263972808256E-014   2.28130383622391366E-015   1.92272717085455540E-022   1.20519181546125598E-016   1.46495441113039274E-020   8.53999525767821051E-026   2.65689133145489226E-013   3.23637567056605716E-017   1.18030279551055543E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46909345728611078E-017   9.99999999999999929E-041   1.21971212195074977E-006   4.86636497789888144E-011   4.40708641938451630E-012   6.05609522779833433E-012   6.71407762886186077E-018   2.29654098729990149E-018   3.04721237083158842E-024   4.84123658544921540E-026   9.99999999999999929E-041   7.95775017463975280E-024   3.63662248995975403E-026   3.31840669297004910E-015   3.20167907373244309E-025   2.72811103475876776E-029   2.90188478726639143E-029   2.38020278303594513E-013   6.60732838541204383E-020   6.03991071959308396E-020   1.97914709426600102E-021   4.62178252308612217E-017   1.92271466591194797E-039   5.08637580192274843E-028   1.39257558123738245E-036   1.66787727065758465E-017   6.75232301542453548E-019   3.63745392098770439E-016   3.63279460151997074E-020   9.82717715161853293E-017   2.52744177341835708E-023   7.42323699616431224E-021   1.85434761747692129E-013   3.10680369047783068E-021   2.01341841291862849E-031   7.11493746202333362E-015   1.49012047841427218E-021   6.49054831986421262E-015   1.17894448690007657E-015   9.78958597004364828E-001   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   1.25000000000000000E+000   8.64950630400044940E-001   2.21771740460144558E+019   2.82489189146420642E+002   9.92841389999998937E+004   3.04481216685136742E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.47496083579427710E-027   1.88642427440266428E-011   8.42366161746941050E-020   2.76873050599816364E-013   9.99999999999999929E-041   4.05912535675339994E-018   9.35551880802965979E-005   9.07115601392243995E-003   4.06909726967334879E-022   9.23651416571313834E-020   1.25192680787392858E-013   1.92108940326015808E-004   9.99997870546160197E-003   1.14892669507312642E-014   2.28621683889613801E-012   9.99999999999999929E-041   2.14679718887315662E-036   5.53481039616603318E-022   1.31967154609541553E-015   9.99987459716745282E-004   2.73271350302589331E-020   8.23340353539676932E-017   9.06141503871252840E-021   2.18467776038027265E-021   6.99677365540481523E-010   5.98684074302674248E-015   5.99114926660767059E-015   2.84577756523609863E-010   4.01695112086874561E-019   6.71772628325558546E-019   1.46676571477995343E-008   1.17461945165650153E-036   8.85777440811960837E-012   5.33010860900680265E-024   5.90734339409452517E-023   1.50400819977840140E-019   1.33428019907768207E-012   9.99999999999999929E-041   9.82107446018974100E-033   2.32918768569043583E-015   1.41792179269219160E-012   2.34576247568219895E-016   9.13618603223671312E-016   4.12627913310417948E-014   2.25577609017829255E-012   6.90693204462112181E-014   2.48166187768230599E-015   2.86794608750536376E-022   1.45959678702080070E-016   1.56763491814224487E-020   8.70683992769630577E-026   2.65689110359409949E-013   3.55488214152227958E-017   1.57975439084620992E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46911799133151787E-017   9.99999999999999929E-041   1.21971210651223621E-006   4.86636363727478969E-011   4.40710682982625352E-012   6.05676611779567412E-012   6.71406622886765152E-018   2.29010533689075148E-018   3.04724201820756227E-024   4.83840639586525096E-026   9.99999999999999929E-041   7.90481820812966948E-024   3.93519147147801971E-026   3.56693892780941425E-015   6.47020514287630935E-025   2.66416910835194505E-029   2.34583772047042601E-029   3.22447805365300396E-013   1.02254258303296672E-019   5.33032272525103437E-020   1.83365579609374309E-021   4.62177022505221068E-017   2.65284002766526738E-039   8.26573421456096985E-028   1.93982617571163106E-036   2.42912190667100384E-017   6.73060315731842975E-019   3.63745504771477759E-016   5.18373704433309299E-020   9.91480315904589100E-017   6.26445163510104175E-023   7.42749919492370004E-021   1.86110557649016865E-013   3.10640403736974872E-021   2.19570226063836913E-031   7.11438486521656851E-015   1.48367267201880105E-021   6.49050648896557663E-015   1.18340960732053524E-015   9.79641978252134948E-001   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   1.75000000000000000E+000   8.15420982957927198E-001   2.11268656076002509E+019   2.79552596557431968E+002   9.92841389999998937E+004   3.04483052170569309E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.32767411592560905E-027   1.88643564621834360E-011   8.27021552299035273E-020   2.76874719656634994E-013   9.99999999999999929E-041   3.80001584933828961E-018   9.35679815720745912E-005   8.22348101351553541E-003   5.14990522573416959E-022   1.56079778539418012E-019   1.29330948443340355E-013   1.92122074994821850E-004   9.99996724467560640E-003   1.33280027456685666E-014   2.49513272137918898E-012   9.99999999999999929E-041   2.59871383355405156E-036   7.22882658592661658E-022   1.61948152032403503E-015   9.99980714653021579E-004   3.41533692016375614E-020   8.24734432993443696E-017   8.39560620973877203E-021   2.04362585937525422E-021   7.05874061219403350E-010   5.85703558301378809E-015   6.52512017404093425E-015   3.49296869255933036E-010   4.02229617780966971E-019   6.71238740951935953E-019   1.46676538720148701E-008   3.93577998876919210E-036   8.89285849375277989E-012   6.00149371961950666E-024   6.97865648662125624E-023   1.72820246142805301E-019   1.33401087770484747E-012   9.99999999999999929E-041   1.26576463225057119E-032   2.32918982398038221E-015   1.41786846593222643E-012   2.55078202880898948E-016   1.33193025472305823E-015   4.97392204790542879E-014   2.25495998879937342E-012   6.90693144127358372E-014   2.66590201212708555E-015   4.36777392123699774E-022   1.80228517700999779E-016   1.74956985330520642E-020   8.23354172032103665E-026   2.65689088479216631E-013   3.88916891040628560E-017   1.96042367765202058E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46915977858956806E-017   9.99999999999999929E-041   1.21971209018166693E-006   4.86636133327827752E-011   4.40713994687149883E-012   6.05778197178557169E-012   6.71405036538100040E-018   2.28108231309953275E-018   3.04728671490582458E-024   4.83411645019219866E-026   9.99999999999999929E-041   7.86163886467419644E-024   4.03232745767478919E-026   3.89009675086722915E-015   1.33227876593032021E-024   2.61371674809091570E-029   1.76216752535457120E-029   4.10341259572866072E-013   1.56281559927872229E-019   4.63370176593048684E-020   1.62692477310298725E-021   4.62174644861618440E-017   3.55821583612906538E-039   1.30021663225530545E-027   2.57343342060123593E-036   3.43846581428899570E-017   6.69818039131961897E-019   3.63745684015434125E-016   7.46437770237616599E-020   1.00647786846574443E-016   1.40863262597518543E-022   7.44139615138112258E-021   1.86927802875142999E-013   3.10580794824786664E-021   2.26514202263553869E-031   7.11301880520958376E-015   1.47420903297745616E-021   6.49044775138818299E-015   1.18809671170858311E-015   9.80489645458985981E-001   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   2.25000000000000000E+000   7.68233094955813378E-001   2.01227334353426268E+019   2.76517585152631113E+002   9.92841389999998937E+004   3.04485467015104945E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   1.14249348870915513E-027   1.88645060747407897E-011   8.07448480320994437E-020   2.76876915540441648E-013   9.99999999999999929E-041   3.42081500980119184E-018   9.35813902045478697E-005   7.30363565813410033E-003   6.29975021957076657E-022   2.51340261192379283E-019   1.35154710212825037E-013   1.92135861655656374E-004   9.99995520848034197E-003   1.50068466912606994E-014   2.71047462163882762E-012   9.99999999999999929E-041   3.04598094813244183E-036   9.51434702600972755E-022   1.93793615562562349E-015   9.99973634214455179E-004   4.19005589643049928E-020   8.25846393131437704E-017   7.78040947285061590E-021   1.91104867719993481E-021   7.11598134735817195E-010   5.81409890598824289E-015   7.22225955203805057E-015   4.09425792542205934E-010   4.02892534969229545E-019   6.70577053623179968E-019   1.46676501483272617E-008   1.16173648092501921E-035   8.92969003371138770E-012   6.60539067440067380E-024   7.80413785236192720E-023   2.19698747278673611E-019   1.33361366583651146E-012   9.99999999999999929E-041   1.59736796791979746E-032   2.32919262977157370E-015   1.41778883713346780E-012   2.90735562265011872E-016   1.86413419221721685E-015   5.72559513278911748E-014   2.25406908277677627E-012   6.90693083332251467E-014   2.82325959346206175E-015   6.61816198303362800E-022   2.23448034196940457E-016   2.03341927283790659E-020   7.36145724578150121E-026   2.65689066179901793E-013   4.24003453562134532E-017   2.28995752535915616E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46922223945100046E-017   9.99999999999999929E-041   1.21971207291584729E-006   4.86635777639027368E-011   4.40718684472180628E-012   6.05914602958599374E-012   6.71403063205861157E-018   2.26982633673402234E-018   3.04734471454129411E-024   4.82854993520550829E-026   9.99999999999999929E-041   7.86276051344010848E-024   4.00220719148480252E-026   4.27172458382751513E-015   2.75021613680202408E-024   2.72935387912999425E-029   1.26050108155555217E-029   5.01593793528577377E-013   2.38172452287933455E-019   4.06696296142660539E-020   1.39681415764243093E-021   4.62170696405703131E-017   4.68736084836910812E-039   2.00787103565264210E-027   3.30852751749563945E-036   4.79555744298143536E-017   6.65652886809510679E-019   3.63745918068435014E-016   1.04300302535203139E-019   1.02877026597546070E-016   2.99208111746828272E-022   7.46804865918824413E-021   1.87819926795246339E-013   3.10503950072100589E-021   2.26017688171416976E-031   7.11034118684613969E-015   1.46221843163686813E-021   6.49037431399443802E-015   1.19301726634377456E-015   9.81409482669514444E-001   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   2.75000000000000000E+000   7.23285939927424626E-001   1.91612401646472397E+019   2.73402905685932808E+002   9.92841389999998937E+004   3.15790473431443145E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.65385921599757291E-028   1.95649117929729875E-011   8.14122284327667126E-020   2.87156865310803409E-013   9.99999999999999929E-041   2.99744708370532702E-018   9.35954481404858350E-005   6.36835030940815713E-003   7.52275759092006779E-022   3.91168426933716560E-019   1.42799808423232955E-013   1.92150336185473565E-004   9.99994278272855856E-003   1.65356280544742562E-014   2.93175612744984907E-012   9.99999999999999929E-041   3.49882765101887690E-036   1.26167881486058795E-021   2.27792172659638885E-015   9.99966201164102873E-004   5.07040837980061350E-020   8.26395580066132315E-017   7.20500723919282294E-021   1.78483060949413357E-021   7.16838117745042038E-010   5.86918407439086183E-015   8.10077019901607120E-015   4.64856802893846911E-010   4.03664565796525580E-019   6.69807185927180401E-019   1.46676460364833078E-008   3.03019897661545566E-035   8.96842387987632471E-012   7.06071615804665267E-024   8.31965909985685809E-023   2.97215552384182107E-019   1.33311005103826595E-012   9.99999999999999929E-041   1.98584959251754747E-032   2.32919612077383032E-015   1.41767656758874819E-012   3.43741533687519466E-016   2.51959146092235719E-015   6.37875262594976526E-014   2.25313577467130417E-012   6.90693032399444470E-014   2.97995335914257172E-015   9.92995980679771903E-022   2.76133049787524166E-016   2.44730051163887064E-020   6.48053639896349414E-026   2.65693315569133449E-013   4.67466535294664214E-017   2.60555257854149480E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46930893502993125E-017   9.99999999999999929E-041   1.21971205618285117E-006   4.86662956281147630E-011   4.40724851327074914E-012   6.06088044939567648E-012   6.71400750462868071E-018   2.25661978009263379E-018   3.04741407472626767E-024   4.82191025312773064E-026   9.99999999999999929E-041   7.94527166510041905E-024   3.90016991633334112E-026   4.69879914312211258E-015   5.51780294461709863E-024   3.13484261514946551E-029   8.69557888675567055E-030   5.96039257452060671E-013   3.62915985311957727E-019   3.65764433181479668E-020   1.17101073922858458E-021   4.62164728788088028E-017   6.10249292717281080E-039   3.06933826364449089E-027   4.16252855079031829E-036   6.63278646321551335E-017   6.60709227122941292E-019   3.63746194952931272E-016   1.39923790488892395E-019   1.05932909675165984E-016   6.13934373330866136E-022   7.51013731660150598E-021   1.88754429087178326E-013   3.10412386024850455E-021   2.20829223407453268E-031   7.10578336470172090E-015   1.44815037695337062E-021   6.49038027118668377E-015   1.19818404187406189E-015   9.82344759283549918E-001   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   3.25000000000000000E+000   6.80499296973926193E-001   1.82283357641909391E+019   2.70394204272372690E+002   9.92841389999998937E+004   3.44378730363691541E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   8.09869994382954711E-028   2.13361074820528878E-011   8.62092932741923099E-020   3.13152944787679516E-013   9.99999999999999929E-041   2.62082964943995155E-018   9.36101973181720351E-005   5.44749499833996949E-003   8.80632571732536198E-022   5.90121877875867689E-019   1.52400663103319296E-013   1.92165542429393910E-004   9.99993009729445437E-003   1.79070009250931005E-014   3.15864286793028077E-012   9.99999999999999929E-041   4.00749179011598691E-036   1.67143691914458936E-021   2.64170722252188477E-015   9.99958393947856768E-004   6.08009088934333147E-020   8.26142750172716360E-017   6.65561529336819370E-021   1.66115337249013334E-021   7.21586440823608691E-010   6.02368041756354158E-015   9.18677718173091492E-015   5.15522802223863969E-010   4.04530933040521213E-019   6.68944350559048502E-019   1.46676415333814436E-008   7.04490326281212263E-035   9.00921519981045196E-012   7.32213645268978442E-024   8.64215495658421128E-023   4.12351605149253096E-019   1.33251462548221377E-012   9.99999999999999929E-041   2.44141747309205609E-032   2.32920031012916967E-015   1.41752420683780998E-012   4.16589330054593073E-016   3.30306709576896226E-015   6.92999387701711280E-014   2.25217256366997463E-012   6.90692998875154550E-014   3.14800803771067241E-015   1.47695343803872962E-021   3.38589796591661755E-016   3.02687279275090704E-020   5.86107978379546071E-026   2.65704422889734069E-013   5.23316966985776318E-017   2.89744609311815295E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46942359622317065E-017   9.99999999999999929E-041   1.21971204108840515E-006   4.86733182403229233E-011   4.40732593355552588E-012   6.06299746422272082E-012   6.71398134489218091E-018   2.24167805363083665E-018   3.04749296868646400E-024   4.81438978599243075E-026   9.99999999999999929E-041   8.14829770424220934E-024   3.81129508781007982E-026   5.15891997034464211E-015   1.04205826696658066E-023   3.95807816278564689E-029   5.99402512050148878E-030   6.93481568572837629E-013   5.48566497021672693E-019   3.39837420960124492E-020   9.66216607036440162E-022   4.62156271187927179E-017   7.85886594721040528E-039   4.58096715818114128E-027   5.13052161535119631E-036   9.01804676616176267E-017   6.55105519427844599E-019   3.63746504339055141E-016   1.80211667438943106E-019   1.09903482652703291E-016   1.19863733921428978E-021   7.57016362134652634E-021   1.89718744177431501E-013   3.10308315778357630E-021   2.15086856252052444E-031   7.09870924079584299E-015   1.43235914646662465E-021   6.49051485940273896E-015   1.20361266099266269E-015   9.83265605076058868E-001   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
   3.75000000000000000E+000   6.39791914809994644E-001   1.73387832718893097E+019   2.67261773949411349E+002   9.92841389999998937E+004   3.95207204853891582E-013   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   6.78608441738649682E-028   2.44852039876291341E-011   9.62917572872963748E-020   3.59372661527075792E-013   9.99999999999999929E-041   2.25513237226892910E-018   9.36256816161111543E-005   4.57515734866896333E-003   1.01263170037662166E-021   8.75017521663259735E-019   1.64080307973257099E-013   1.92181526208851566E-004   9.99991729832147916E-003   1.91088712756045063E-014   3.39089605365756140E-012   9.99999999999999929E-041   4.55943954023773705E-036   2.23721270508926592E-021   3.02748432497366551E-015   9.99950190084823633E-004   7.22648356386818406E-020   8.24853665817451308E-017   6.13772114717380012E-021   1.54290278426053227E-021   7.25837101062647556E-010   6.26504500274094733E-015   1.05066216289568703E-014   5.61372695014679878E-010   4.05480396757076920E-019   6.68000367567603826E-019   1.46676366399085787E-008   1.48691302501665228E-034   9.05223290564081778E-012   7.33302051001656330E-024   8.58706152390155873E-023   5.77429511735244037E-019   1.33184912950587062E-012   9.99999999999999929E-041   2.97608726414252415E-032   2.32920523420645593E-015   1.41732337968023576E-012   5.12159564852972108E-016   4.21650816515536684E-015   7.37848056642195081E-014   2.25118160522647670E-012   6.90692990772364713E-014   3.34523324234893347E-015   2.18722443247017290E-021   4.10704301353125284E-016   3.81694687423448331E-020   5.32453216579350543E-026   2.65725611189153405E-013   5.97111040682967707E-017   3.12121336068448482E-017   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   9.99999999999999929E-041   2.46957003826063708E-017   9.99999999999999929E-041   1.21971202885161683E-006   4.86866578613498712E-011   4.40742010565938908E-012   6.06551293468794594E-012   6.71395240799835038E-018   2.22515585222595244E-018   3.04757991060749329E-024   4.80614790025558676E-026   9.99999999999999929E-041   8.51289944970882200E-024   3.72881942522531745E-026   5.63962921891629428E-015   1.82236289321428580E-023   5.33624363362905819E-029   4.01616414961165916E-030   7.93661340832961344E-013   8.29756973122606282E-019   3.24700861793319798E-020   7.87895099963065971E-022   4.62144840360147192E-017   1.00783902999553109E-038   6.84032833347574036E-027   6.23260779470594985E-036   1.22790176547142567E-016   6.48923891704396473E-019   3.63746838436023914E-016   2.23733537934951575E-019   1.14878107653733485E-016   2.32571838829117929E-021   7.65047857784980366E-021   1.90710669124107840E-013   3.10193440667765235E-021   2.07990751103128338E-031   7.08842881162825556E-015   1.41508197514280588E-021   6.49084393345820968E-015   1.20931944797631362E-015   9.84137932209993349E-001   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005   1.00000000000000008E-005
